masked_user,department,role,risk_type,severity,description,evidence,severity_score
user_1020,sales,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1096,operations,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1113,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1119,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1146,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1189,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1192,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1198,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1257,finance,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1281,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1295,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1297,hr,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1305,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1331,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1332,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1340,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1361,sales,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1372,it,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1378,finance,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1384,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1408,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1428,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1466,finance,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1470,operations,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1481,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1524,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1531,it,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1569,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1607,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1619,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1650,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1655,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1663,hr,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1688,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1691,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1700,operations,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1701,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1702,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1719,operations,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1723,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1786,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1809,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1827,finance,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1859,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1865,finance,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1880,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1892,hr,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1912,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1939,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_1963,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2005,finance,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2023,operations,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2052,operations,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2053,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2060,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2110,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2174,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2186,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2209,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2210,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2249,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2251,sales,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2287,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2293,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2314,sales,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2324,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2421,sales,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2425,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2429,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2449,it,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2467,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2478,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2480,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2559,finance,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2565,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2595,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2598,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2599,sales,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
