masked_user,total_events,malicious_events,avg_anomaly_score,max_anomaly_score,off_hours_events,weekend_events,unique_sources,unique_devices,first_seen,last_seen,off_hours_ratio,weekend_ratio
user_1003,1,0,0.401,0.401,0,0,1,1,2024-02-29 10:17:00,2024-02-29 10:17:00,0.0,0.0
user_1004,1,0,0.1818,0.1818,0,1,1,1,2024-11-30 14:08:42,2024-11-30 14:08:42,0.0,1.0
user_1005,2,1,0.67465,0.9768,1,1,2,2,2024-07-06 09:05:01,2024-08-07 02:07:44,0.5,0.5
user_1007,1,0,0.37,0.37,0,0,1,1,2024-03-27 10:55:58,2024-03-27 10:55:58,0.0,0.0
user_1008,1,0,0.1032,0.1032,0,1,1,1,2024-01-06 12:06:29,2024-01-06 12:06:29,0.0,1.0
user_1009,1,0,0.2755,0.2755,0,1,1,1,2024-09-15 18:46:10,2024-09-15 18:46:10,0.0,1.0
user_1010,1,0,0.1955,0.1955,0,0,1,1,2024-01-01 11:55:11,2024-01-01 11:55:11,0.0,0.0
user_1011,1,0,0.0954,0.0954,0,0,1,1,2024-10-17 16:38:52,2024-10-17 16:38:52,0.0,0.0
user_1012,1,0,0.2587,0.2587,0,0,1,1,2024-02-16 16:10:09,2024-02-16 16:10:09,0.0,0.0
user_1014,1,0,0.091,0.091,0,1,1,1,2024-09-28 17:48:39,2024-09-28 17:48:39,0.0,1.0
user_1016,1,0,0.1731,0.1731,0,1,1,1,2024-09-14 14:38:24,2024-09-14 14:38:24,0.0,1.0
user_1020,1,1,0.9541,0.9541,1,1,1,1,2024-07-06 02:37:01,2024-07-06 02:37:01,1.0,1.0
user_1028,1,0,0.3924,0.3924,0,0,1,1,2024-07-12 11:34:36,2024-07-12 11:34:36,0.0,0.0
user_1030,1,0,0.3055,0.3055,0,1,1,1,2024-02-17 11:21:50,2024-02-17 11:21:50,0.0,1.0
user_1031,1,0,0.029,0.029,0,0,1,1,2024-09-24 16:28:34,2024-09-24 16:28:34,0.0,0.0
user_1033,2,0,0.2496,0.4576,0,0,2,1,2024-03-06 09:01:38,2024-03-11 13:30:38,0.0,0.0
user_1036,1,0,0.2902,0.2902,0,1,1,1,2024-01-07 14:58:58,2024-01-07 14:58:58,0.0,1.0
user_1037,1,0,0.2286,0.2286,0,0,1,1,2024-04-17 11:18:50,2024-04-17 11:18:50,0.0,0.0
user_1038,1,0,0.2626,0.2626,0,1,1,1,2024-06-30 16:38:09,2024-06-30 16:38:09,0.0,1.0
user_1043,2,0,0.29964999999999997,0.4743,0,0,2,2,2024-04-05 09:10:39,2024-09-26 17:49:16,0.0,0.0
user_1044,1,0,0.0963,0.0963,0,1,1,1,2024-05-05 17:48:59,2024-05-05 17:48:59,0.0,1.0
user_1047,1,0,0.376,0.376,0,0,1,1,2024-02-21 14:41:19,2024-02-21 14:41:19,0.0,0.0
user_1051,2,0,0.25975,0.2704,0,0,2,1,2024-01-05 11:27:31,2024-09-25 11:44:22,0.0,0.0
user_1061,1,1,0.9057,0.9057,1,0,1,1,2024-06-26 01:10:04,2024-06-26 01:10:04,1.0,0.0
user_1064,1,0,0.0323,0.0323,0,0,1,1,2024-04-02 13:33:20,2024-04-02 13:33:20,0.0,0.0
user_1066,2,0,0.3128,0.3199,0,1,2,2,2024-09-07 15:07:29,2024-11-19 15:17:44,0.0,0.5
user_1067,1,0,0.1391,0.1391,0,0,1,1,2024-09-12 18:15:08,2024-09-12 18:15:08,0.0,0.0
user_1068,1,0,0.235,0.235,0,0,1,1,2024-11-01 18:50:54,2024-11-01 18:50:54,0.0,0.0
user_1072,1,0,0.3121,0.3121,0,0,1,1,2024-02-08 12:03:56,2024-02-08 12:03:56,0.0,0.0
user_1074,1,0,0.3311,0.3311,0,0,1,1,2024-04-29 10:59:05,2024-04-29 10:59:05,0.0,0.0
user_1076,2,0,0.22005,0.2698,0,2,2,2,2024-07-07 09:56:07,2024-11-02 11:01:24,0.0,1.0
user_1077,3,1,0.49006666666666665,0.9692,1,1,3,1,2024-01-06 18:35:14,2024-08-30 01:01:23,0.3333333333333333,0.3333333333333333
user_1079,1,0,0.0183,0.0183,0,0,1,1,2024-07-17 10:41:16,2024-07-17 10:41:16,0.0,0.0
user_1081,1,0,0.3409,0.3409,0,1,1,1,2024-12-29 13:48:35,2024-12-29 13:48:35,0.0,1.0
user_1082,1,0,0.3122,0.3122,0,1,1,1,2024-08-25 11:26:27,2024-08-25 11:26:27,0.0,1.0
user_1086,2,0,0.24775000000000003,0.405,0,1,2,2,2024-04-01 14:40:58,2024-07-20 16:36:37,0.0,0.5
user_1092,2,1,0.6184000000000001,0.9729,1,0,2,2,2024-03-27 01:02:39,2024-05-17 14:03:00,0.5,0.0
user_1095,3,0,0.20846666666666666,0.4989,0,1,3,2,2024-01-30 12:30:51,2024-12-04 17:57:37,0.0,0.3333333333333333
user_1096,1,0,0.0051,0.0051,0,0,1,1,2024-07-08 14:29:24,2024-07-08 14:29:24,0.0,0.0
user_1098,1,0,0.0565,0.0565,0,0,1,1,2024-11-11 12:55:26,2024-11-11 12:55:26,0.0,0.0
user_1103,1,0,0.2257,0.2257,0,0,1,1,2024-02-14 10:21:00,2024-02-14 10:21:00,0.0,0.0
user_1108,1,0,0.1327,0.1327,0,0,1,1,2024-11-07 11:02:47,2024-11-07 11:02:47,0.0,0.0
user_1111,1,0,0.0136,0.0136,0,0,1,1,2024-12-16 16:30:28,2024-12-16 16:30:28,0.0,0.0
user_1113,2,0,0.12635,0.2365,0,0,2,2,2024-01-31 14:04:36,2024-09-10 18:38:01,0.0,0.0
user_1115,1,0,0.0006,0.0006,0,1,1,1,2024-10-27 16:57:23,2024-10-27 16:57:23,0.0,1.0
user_1116,2,0,0.16975,0.3325,0,0,2,1,2024-07-08 17:18:51,2024-11-26 12:01:02,0.0,0.0
user_1118,1,0,0.3353,0.3353,0,0,1,1,2024-06-24 13:02:43,2024-06-24 13:02:43,0.0,0.0
user_1119,1,0,0.2084,0.2084,0,0,1,1,2024-01-26 14:54:46,2024-01-26 14:54:46,0.0,0.0
