user_id,department,role,mfa_enabled,is_active,join_date,termination_date,manager
user_1003,it,manager,yes,yes,2021-05-21,,user_7541
user_1004,sales,admin,yes,yes,2022-05-28,,user_7535
user_1005,operations,analyst,yes,yes,2022-02-05,,user_6007
user_1007,it,analyst,yes,yes,2025-06-08,,user_6048
user_1008,finance,analyst,yes,yes,2023-02-24,,user_8133
user_1009,finance,manager,yes,yes,2024-11-27,,user_4491
user_1010,finance,manager,yes,no,2021-02-11,2025-08-30,user_4412
user_1011,sales,admin,yes,yes,2024-05-12,,user_8915
user_1012,operations,analyst,yes,yes,2024-11-19,,user_1811
user_1014,operations,manager,yes,no,2024-05-20,2025-07-13,user_1531
user_1016,finance,admin,yes,yes,2024-06-09,,user_5649
user_1020,sales,admin,no,yes,2025-11-04,,user_8523
user_1028,sales,manager,no,yes,2022-01-28,,user_9080
user_1030,hr,manager,no,yes,2022-04-16,,user_8299
user_1031,finance,analyst,no,yes,2025-04-05,,user_8167
user_1033,finance,intern,no,yes,2023-06-21,,user_9386
user_1036,hr,analyst,yes,yes,2024-03-26,,user_4650
user_1037,it,intern,yes,yes,2025-04-03,,user_7348
user_1038,it,engineer,yes,yes,2025-06-22,,user_6505
user_1043,hr,engineer,no,yes,2022-12-12,,user_5593
user_1044,operations,analyst,no,yes,2023-01-22,,user_4863
user_1047,finance,manager,yes,yes,2024-03-04,,user_7336
user_1051,hr,manager,yes,yes,2022-10-03,,user_5527
user_1061,it,analyst,yes,yes,2021-10-07,,user_2284
user_1064,it,engineer,yes,yes,2022-08-01,,user_1922
user_1066,operations,intern,no,yes,2022-10-04,,user_3800
user_1067,finance,engineer,no,yes,2024-12-24,,user_5954
user_1068,it,engineer,yes,no,2025-07-02,2025-02-09,user_5633
user_1072,it,analyst,yes,yes,2021-12-21,,user_1683
user_1074,finance,manager,yes,yes,2023-04-03,,user_6604
user_1076,operations,analyst,no,yes,2021-06-21,,user_3542
user_1077,finance,engineer,yes,yes,2023-02-03,,user_1621
user_1079,finance,intern,yes,yes,2023-07-05,,user_6312
user_1081,sales,engineer,yes,yes,2024-12-02,,user_8713
user_1082,sales,analyst,no,yes,2023-08-14,,user_3572
user_1086,sales,manager,no,yes,2024-10-14,,user_4977
user_1092,hr,engineer,yes,no,2023-06-06,2023-07-29,user_2205
user_1095,finance,manager,yes,yes,2021-07-14,,user_7202
user_1096,operations,admin,no,no,2025-09-13,2025-04-21,user_3614
user_1098,it,admin,yes,yes,2024-03-10,,user_3518
user_1103,finance,engineer,no,yes,2021-01-03,,user_2174
user_1108,it,manager,yes,yes,2024-09-26,,user_8094
user_1111,finance,analyst,yes,yes,2024-04-01,,user_1215
user_1113,sales,analyst,no,no,2024-02-10,2024-07-08,user_2480
user_1115,hr,manager,no,yes,2024-04-18,,user_1524
user_1116,operations,manager,yes,yes,2024-01-28,,user_6426
user_1118,hr,engineer,yes,yes,2024-10-29,,user_4301
user_1119,it,engineer,no,yes,2023-12-26,,user_2693
user_1124,it,analyst,yes,yes,2023-04-10,,user_3276
user_1125,finance,manager,no,no,2024-12-14,2025-01-23,user_6224
user_1126,sales,analyst,yes,yes,2021-03-28,,user_1614
user_1127,operations,analyst,yes,yes,2022-08-03,,user_3323
user_1131,sales,admin,no,yes,2022-07-10,,user_1648
user_1133,sales,analyst,no,yes,2022-09-20,,user_3236
user_1134,it,manager,yes,yes,2021-10-16,,user_7413
user_1137,sales,analyst,no,yes,2023-11-20,,user_3594
user_1141,finance,intern,yes,no,2025-11-07,2025-08-26,user_3844
user_1144,finance,engineer,yes,yes,2024-10-22,,user_9770
user_1146,finance,analyst,no,yes,2025-02-06,,user_9568
user_1152,hr,engineer,no,yes,2025-05-23,,user_7083
user_1153,it,engineer,yes,yes,2020-12-22,,user_4203
user_1154,hr,intern,yes,yes,2023-01-03,,user_2005
user_1155,sales,analyst,yes,yes,2025-05-23,,user_8161
user_1156,it,intern,yes,yes,2021-06-27,,user_5674
user_1157,hr,intern,yes,yes,2025-08-29,,user_2063
user_1158,it,intern,yes,yes,2022-04-30,,user_6471
